id,egalit,politic,relig,icar,egalit_p,politic_p,relig_p,icar_p,egalit_p_code,politic_p_code,relig_p_code,icar_p_code,idsex,ethnic,age,idab,famid
7880101,3.88,4,6,5,4.25,4,26,8,m,m,m,m,female,Asian,40.28,adopted,78801
7880103,4.63,4,23,6,4.25,4,26,8,m,m,m,m,female,Asian,38.52,adopted,78801
7890101,1.75,2,23,11,2.75,2,28,7,m,c,m,m,female,Asian,39.42,adopted,78901
7890103,2.13,2,15,13,2.75,2,28,7,m,c,m,m,female,Asian,36.6,adopted,78901
7980201,3.38,2,3,11,4.1899999999999995,3.5,10.5,12,c,c,c,c,female,Asian,38.82,adopted,79802
7980301,4.13,4,19,9,3.88,5,1,10,f,f,f,f,female,Asian,38.52,adopted,79803
7990101,2.75,3,3,3,3.815,4,9.5,9,c,c,c,c,female,Hispanic,38.87,adopted,79901
8066102,2.13,2,18,15,3.5,3,13,0,m,m,m,m,male,White,33.8,biological,80661
8080301,4,4,5,13,2.875,3.5,5,8.5,c,c,c,c,female,Asian,37.54,adopted,80803
8080303,3.75,4,1,10,2.875,3.5,5,8.5,c,c,c,c,female,Asian,35.54,adopted,80803
8160200,2.75,2,15,12,3.5,4,30,10,c,c,c,c,male,White,36.77,biological,81602
8160203,4.13,4,7,4,3.5,4,30,10,c,c,c,c,male,Asian,34.01,adopted,81602
8175707,4.88,4,2,13,4.0649999999999995,4,19.5,11,c,c,c,c,female,Asian,34.8,adopted,81757
8175905,3.63,3,4,9,3.25,4,23,11,m,m,m,m,male,White,37,adopted,81759
8175907,3,1,13,11,3.25,4,23,11,m,m,m,m,female,Asian,34.54,adopted,81759
8176002,3.88,3,15,15,2.5,4,24,2,m,m,m,m,male,White,35.47,biological,81760
8180101,3.25,4,16,4,3.25,3,33,9,m,m,m,m,female,Asian,36.46,adopted,81801
8180103,3.75,4,8,11,3.25,3,33,9,m,m,m,m,female,Asian,34.53,adopted,81801
8180201,3.25,3,5,13,4,4.5,5,11,c,c,c,c,female,Asian,36.79,adopted,81802
8180301,4.88,5,14,10,4.38,4,28,3,m,m,m,m,female,White,38.02,adopted,81803
8180303,3.5,3,6,7,4.38,4,28,3,m,m,m,m,female,White,33.1,adopted,81803
8180601,3.63,4,18,3,4.5,3.5,13.5,4,c,c,c,c,female,Asian,37.68,adopted,81806
8180603,3.5,4,6,7,4.5,3.5,13.5,4,c,c,c,c,female,Asian,35.14,adopted,81806
8180701,3.75,5,3,7,3.63,4,6,12,m,m,m,m,female,Asian,37.06,adopted,81807
8180703,4.13,5,1,13,3.63,4,6,12,m,m,m,m,female,Asian,35.84,adopted,81807
8190203,3,4,4,6,2.88,2,29,8,m,m,m,m,female,Asian,34.44,adopted,81902
8190401,3.38,4,9,15,4.0649999999999995,4.5,20.5,7,c,c,c,c,female,Asian,36.6,adopted,81904
8190603,2.25,2,13,5,3.065,1.5,26,10,c,c,f,f,female,Mixed,34.66,adopted,81906
8190700,3.75,3,9,4,2.86,3,13,5,m,m,m,m,female,White,36.71,biological,81907
8190703,2.63,2,19,8,2.86,3,13,5,m,m,m,m,female,Asian,33.54,adopted,81907
8196300,3.38,3,11,10,3.75,4,22,9,m,m,m,m,female,White,36.38,biological,81963
8196302,3.88,4,5,11,3.75,4,22,9,m,m,m,m,female,White,35.11,biological,81963
8196400,2.38,2,17,9,4.13,4,27,7,m,m,m,m,female,White,37.42,biological,81964
8196402,3.75,3,24,11,4.13,4,27,7,m,m,m,m,female,White,34.31,biological,81964
8196702,2.88,2,28,4,2.815,1.5,28.5,7,c,c,c,c,female,White,33.81,biological,81967
8260501,2.88,3,23,14,2.755,1.5,27.5,8,c,c,c,c,male,White,35.77,adopted,82605
8265807,4.5,4,8,4,4.3149999999999995,4,12.5,10,c,c,c,c,female,Hispanic,35.68,adopted,82658
8265907,4.25,4,0,13,2.44,2,20.5,10,c,c,c,c,female,Asian,34.51,adopted,82659
8266102,2.25,3,32,16,2.375,2,32,11.5,c,c,c,c,male,White,34.99,biological,82661
8266800,4.25,5,3,15,4.13,4,25,11,m,m,m,m,male,White,36.19,biological,82668
8266802,2.63,4,13,11,4.13,4,25,11,m,m,m,m,male,White,33.98,biological,82668
8270203,2.63,4,2,16,4.0649999999999995,4.5,22,11,c,c,c,c,male,Mixed,32.8,adopted,82702
8270301,1.88,1,0,13,4.38,2,17,8,m,m,m,m,male,Asian,35.97,adopted,82703
8270401,3.63,4,7,14,4.4399999999999995,4.5,29.5,11,c,c,c,c,male,Asian,35.77,adopted,82704
8270402,4.13,5,15,14,4.4399999999999995,4.5,29.5,11,c,c,c,c,male,White,34.19,biological,82704
8270501,3,3,25,5,2.565,1.5,29,10,c,c,c,c,male,Asian,33.59,adopted,82705
8275905,3.75,4,8,14,3.375,4,25.5,3.5,c,c,c,c,male,White,35.81,adopted,82759
8275907,3.5,4,16,12,3.375,4,25.5,3.5,c,c,c,c,female,Asian,31.56,adopted,82759
8276300,4.38,3,9,3,2.5,2,28,10,m,m,m,m,male,White,36.27,biological,82763
8280301,4,4,3,8,4.1899999999999995,4.5,6.5,9,c,c,c,c,female,Asian,35.33,adopted,82803
8280602,3.5,4,4,9,3.565,3.5,4.5,10.5,c,c,c,c,female,White,32.69,biological,82806
8286000,1.88,1,34,9,2.375,2,35,12,c,m,c,c,female,White,36.24,biological,82860
8286002,2.38,1,34,3,2.375,2,35,12,c,m,c,c,female,White,34.52,biological,82860
8290101,3.38,2,34,8,4,4,23,6,m,m,m,m,female,Asian,35.4,adopted,82901
8290102,4.13,4,27,15,4,4,23,6,m,m,m,m,female,White,32.67,biological,82901
8290201,4.75,5,5,11,2.815,2,28,6,c,c,c,c,female,Asian,36.1,adopted,82902
8290401,2,2,35,10,3.25,1,33,8,m,m,m,m,female,East Indian,35.92,adopted,82904
8290703,4.5,3,5,4,4,4.5,7,12.5,c,c,c,c,female,Asian,31.47,adopted,82907
8360201,3.5,4,2,10,4.38,5,3,13,c,c,c,c,male,Asian,34.51,adopted,83602
8360202,4.5,5,3,15,4.38,5,3,13,c,c,c,c,male,White,31.92,biological,83602
8360803,2.5,3,11,8,3.75,4,17,8,f,f,f,f,male,Asian,31.62,adopted,83608
8366700,3.75,4,3,13,3.5,4.5,12.5,13,c,c,c,c,male,White,34.74,biological,83667
8366702,3,2,4,15,3.5,4.5,12.5,13,c,c,c,c,male,White,31.21,biological,83667
8369806,1.5,2,34,12,2.19,1.5,30.5,8,c,c,c,c,female,White,32.24,biological,83698
8369904,3,2,28,13,2.815,1.5,31,6.5,c,c,c,c,male,White,34.84,biological,83699
8369906,3.88,3,29,13,2.815,1.5,31,6.5,c,c,c,c,female,White,32.08,biological,83699
8370603,4,5,7,9,3.38,4,5,10,f,f,f,f,male,Hispanic,34.43,adopted,83706
8370803,4.25,4,5,13,3.755,3.5,27,13,c,c,c,c,male,White,31.12,adopted,83708
8375905,3.25,3,20,7,1.75,2,29,12,m,m,m,m,male,Asian,36.46,adopted,83759
8377200,2.63,4,26,12,3.13,3,23.5,2,c,c,c,c,male,White,36.39,biological,83772
8379804,3.5,4,6,11,3.005,3,10.5,10.5,c,c,c,c,male,White,34.63,biological,83798
8379904,3,3,27,11,3.255,2,31,9.5,c,c,c,c,male,White,34.95,biological,83799
8379906,3.13,3,26,5,3.255,2,31,9.5,c,c,c,c,female,White,32.16,biological,83799
8380901,3.25,2,6,3,3.75,3,11,11,m,m,m,m,female,Asian,35.28,adopted,83809
8380902,3.88,3,8,7,3.75,3,11,11,m,m,m,m,female,White,31.15,biological,83809
8386000,4.5,5,3,12,2.065,2,15.5,8,c,c,c,c,female,White,35,biological,83860
8386002,3.38,3,8,6,2.065,2,15.5,8,c,c,c,c,female,White,32.62,biological,83860
8386202,3.13,4,7,13,2.19,2,20,6.5,c,c,c,c,female,White,32.98,biological,83862
8390103,3.75,4,15,7,3.94,4.5,25,11.5,c,c,c,c,female,Asian,33.09,adopted,83901
8390501,4.25,4,3,7,3.815,3.5,8,9,c,c,c,c,female,Asian,35.43,adopted,83905
8391301,4.25,4,23,14,4,4,25,9,m,m,m,m,female,White,35.23,adopted,83913
8391303,4.25,5,19,9,4,4,25,9,m,m,m,m,female,Asian,32.29,adopted,83913
8391401,3.38,3,6,10,2.88,2,16,11,m,m,m,m,female,White,35.24,adopted,83914
8391403,2.63,2,4,7,2.88,2,16,11,m,m,m,m,female,White,31.19,adopted,83914
8391501,3.88,4,4,14,2.69,3,29,8.5,c,c,c,c,female,Asian,35.02,adopted,83915
8391502,3.38,3,23,11,2.69,3,29,8.5,c,c,c,c,female,White,32.52,biological,83915
8395805,3.75,4,4,10,2.75,3,17,6,m,m,m,m,female,White,34.5,adopted,83958
8395807,3.13,2,15,15,2.75,3,17,6,m,m,m,m,male,White,31.19,adopted,83958
8396500,4,4,3,11,3.5,4,3,6,m,m,m,m,female,White,35.26,biological,83965
8396502,3,2,2,10,3.5,4,3,6,m,m,m,m,female,White,32.58,biological,83965
8396702,2.13,3,3,13,3,4,21,14,m,m,m,m,female,White,32.05,biological,83967
8460903,4.5,5,4,7,3.75,4,22,12,m,m,m,m,male,Asian,31.84,adopted,84609
8465105,3.5,2,24,4,3.63,4,2,15,f,f,f,f,male,East Indian,34.39,adopted,84651
8465307,3.88,3,18,2,4.25,5,32,6,m,m,m,m,female,Asian,33.11,adopted,84653
8465507,3.13,2,23,6,3.88,4,17.5,7,c,c,c,c,female,White,31.69,adopted,84655
8465807,1.75,3,6,7,2.88,2,33.5,8,c,c,c,c,female,Asian,32.21,adopted,84658
8466700,3.88,4,16,8,4.63,4,19,9,m,m,m,m,male,White,33.46,biological,84667
8467900,3,2,8,3,2.88,2,14.5,5.5,c,c,c,c,male,White,34.09,biological,84679
8467902,3.63,4,11,12,2.88,2,14.5,5.5,c,c,c,c,male,White,31.24,biological,84679
8475705,2.88,2,14,2,3.625,3.5,25.5,8,c,c,c,c,male,Asian,33.34,adopted,84757
8475707,4.25,5,3,6,3.625,3.5,25.5,8,c,c,c,c,female,Asian,32.36,adopted,84757
8476400,2.5,2,14,8,2.88,2,22,8,m,m,m,m,male,White,34.28,biological,84764
8476600,2,2,12,11,3.25,3,17.5,12.5,c,c,c,c,male,White,34.52,biological,84766
8476800,2.13,1,31,13,1.94,1.5,34,11.5,c,c,c,c,male,White,33.65,biological,84768
8476802,2.5,1,28,11,1.94,1.5,34,11.5,c,c,c,c,male,White,31.7,biological,84768
8479704,3.63,4,6,16,2.63,2,30,12,f,f,f,f,male,White,33.89,biological,84797
8479706,3.5,4,10,7,2.63,2,30,12,f,f,f,f,female,White,32.26,biological,84797
8479806,3.25,3,6,8,3.38,3,26,5,m,m,m,m,female,White,30.75,biological,84798
8479904,2.25,2,11,10,3.25,3,12,5,m,m,m,m,male,White,34.01,biological,84799
8479906,3.75,4,11,11,3.25,3,12,5,m,m,m,m,female,White,32.29,biological,84799
8481001,3.63,3,17,14,3.88,4,20,11,m,m,m,m,female,Asian,33.9,adopted,84810
8481002,4.88,5,10,12,3.88,4,20,11,m,m,m,m,female,White,31.94,biological,84810
8481502,2.63,2,27,4,3.005,4,24.5,9,c,c,c,c,female,White,32.45,biological,84815
8481603,4,4,10,1,4.125,4.5,7,11.5,c,c,c,c,female,Asian,32.75,adopted,84816
8481801,3.75,5,2,9,4,3,28,10,m,m,m,m,female,Asian,33.44,adopted,84818
8481803,3.25,5,8,3,4,3,28,10,m,m,m,m,female,Asian,30.85,adopted,84818
8481901,2.5,3,7,8,2.19,2.5,25,8,c,c,c,c,female,Asian,33.56,adopted,84819
8481903,2.88,5,10,12,2.19,2.5,25,8,c,c,c,c,female,Asian,31.04,adopted,84819
8485405,3.25,4,8,4,3.63,4,13,11.5,c,c,c,c,female,White,33.8,adopted,84854
8485407,3.5,3,7,4,3.63,4,13,11.5,c,c,c,c,male,Asian,31.11,adopted,84854
8485705,2.63,3,14,9,3.375,3,27,8.5,c,c,c,c,female,White,34.09,adopted,84857
8485707,3,3,7,4,3.375,3,27,8.5,c,c,c,c,male,White,32.34,adopted,84857
8486200,3.88,4,5,13,3.63,4,3,10,m,m,m,m,female,White,33.73,biological,84862
8486900,1.5,2,28,11,4.13,2,32,10,m,m,m,m,female,White,33.97,biological,84869
8486902,3.75,4,16,11,4.13,2,32,10,m,m,m,m,female,White,33.91,biological,84869
8490301,2.5,3,5,9,3.13,4,15.5,6.5,c,c,c,c,female,Asian,33.58,adopted,84903
8490303,4.25,4,29,12,3.13,4,15.5,6.5,c,c,c,c,female,Asian,32.76,adopted,84903
8490401,3.25,3,5,10,4.255,5,1.5,5,c,c,c,c,female,Asian,34.14,adopted,84904
8490403,3.13,4,1,7,4.255,5,1.5,5,c,c,c,c,female,Asian,31.12,adopted,84904
8491101,3.75,4,14,13,3.63,3,18,6,c,c,c,c,female,White,34.36,adopted,84911
8491102,4.25,4,14,6,3.63,3,18,6,c,c,c,c,female,White,33.09,biological,84911
8495705,3.75,4,17,14,3.44,4,17.5,8,c,c,c,c,female,Asian,33.93,adopted,84957
8495707,3.63,4,9,4,3.44,4,17.5,8,c,c,c,c,male,Asian,31.99,adopted,84957
8495905,2.75,5,0,8,4.5,4,2,14,m,m,m,m,female,Asian,34.07,adopted,84959
8496500,4.13,4,5,7,3.5,4,9.5,10.5,c,c,c,c,female,White,34.26,biological,84965
8496502,4.63,4,14,8,3.5,4,9.5,10.5,c,c,c,c,female,White,31.71,biological,84965
8496700,4.88,5,16,14,4.5,1,32,8,m,m,m,m,female,White,33.93,biological,84967
8496702,4.63,5,9,16,4.5,1,32,8,m,m,m,m,female,White,32.12,biological,84967
8560501,3.13,2,6,4,2,1.5,34.5,11.5,c,c,c,c,male,Asian,32.91,adopted,85605
8560503,4,4,22,13,2,1.5,34.5,11.5,c,c,c,c,male,Asian,31.28,adopted,85605
8561101,3,3,21,13,3,2,22,9,m,m,m,m,male,Asian,32.6,adopted,85611
8561102,2,3,28,9,3,2,22,9,m,m,m,m,male,White,31.92,biological,85611
8561303,4.63,4,2,16,4.0649999999999995,5,2,6.5,c,c,c,c,male,Asian,29.25,adopted,85613
8564307,3,3,11,1,3.13,3,20.5,4.5,c,c,c,c,female,Asian,29.47,adopted,85643
8564905,4.75,5,4,12,4.0649999999999995,4,4.5,12,c,c,c,c,male,Asian,32.62,adopted,85649
8564907,4.5,5,3,11,4.0649999999999995,4,4.5,12,c,c,c,c,female,Asian,30.15,adopted,85649
8565305,4.88,4,2,5,3.88,4,5,15,f,f,f,f,male,Asian,32.83,adopted,85653
8565907,4.13,5,5,7,4.3149999999999995,4,29,8,c,c,c,c,female,Asian,31.02,adopted,85659
8566102,4.38,4,3,15,4.75,4.5,19,11.5,c,c,c,c,male,White,31.14,biological,85661
8569906,2.13,1,2,9,2.13,3,7,9,m,m,m,m,female,White,29.91,biological,85699
8570201,2.38,3,8,10,3.38,3,28,12,f,f,f,f,male,Mixed,32.66,adopted,85702
8570203,3.75,3,28,13,3.38,3,28,12,f,f,f,f,male,Asian,32.3,adopted,85702
8570501,2.88,3,12,2,2.25,2,14,8,f,f,f,f,male,Asian,32.62,adopted,85705
8574305,2.75,1,13,3,2.815,2,33,6,c,c,c,c,male,Asian,34.11,adopted,85743
8575007,2.88,2,14,13,2.13,2,23,8,f,f,f,f,female,White,31.67,adopted,85750
8575805,4.38,4,6,8,3.13,2,11,10,f,f,f,f,male,Asian,33.59,adopted,85758
8579504,4.38,3,14,14,2.88,2,27,12.5,c,c,c,c,male,White,33.24,biological,85795
8579804,2,1,17,11,2.25,2,28,7,m,m,m,m,male,White,33.28,biological,85798
8579806,1.88,2,25,6,2.25,2,28,7,m,m,m,m,female,White,31.34,biological,85798
8580101,4.75,4,5,8,4.125,4.5,27,9,c,c,c,c,female,Asian,32.77,adopted,85801
8580102,4,4,6,9,4.125,4.5,27,9,c,c,c,c,female,White,29.84,biological,85801
8580201,4.88,5,3,4,4.6899999999999995,5,3.5,13,c,c,c,c,female,Asian,32.53,adopted,85802
8580203,4.63,4,3,14,4.6899999999999995,5,3.5,13,c,c,c,c,female,Asian,29.84,adopted,85802
8580701,1.88,1,23,7,2.63,2.5,21.5,6,c,c,c,c,female,Asian,32.66,adopted,85807
8580703,2.88,2,12,11,2.63,2.5,21.5,6,c,c,c,c,female,Asian,29.39,adopted,85807
8580801,4.38,5,12,15,3,2,30,11,m,m,m,m,female,Asian,33.2,adopted,85808
8581800,4.13,4,2,9,2.94,3.5,21.5,6.5,c,c,c,c,female,White,32.58,biological,85818
8581803,3.25,3,19,11,2.94,3.5,21.5,6.5,c,c,c,c,female,Asian,29.98,adopted,85818
8585407,5,5,3,8,4.8149999999999995,4.5,6.5,11,c,c,c,c,male,Asian,30.89,adopted,85854
8585905,3.75,4,6,16,3,2.5,25.5,12,c,c,c,c,female,Asian,33.01,adopted,85859
8586400,4.13,3,14,3,3.5,2,28,5,m,m,m,m,female,Black,32.66,biological,85864
8586402,3.63,3,14,8,3.5,2,28,5,m,m,m,m,female,Black,30.88,biological,85864
8590701,1.88,2,34,7,2.625,1.5,31,8.5,c,c,c,c,female,Asian,32.52,adopted,85907
8590902,2.63,2,33,5,2.44,1,34.5,8.5,c,c,c,c,female,White,31.36,biological,85909
8591001,5,5,6,9,3.94,4,15.5,10,c,c,c,c,female,Asian,32.75,adopted,85910
8591301,3.25,3,12,5,4.255,5,20,12.5,c,c,c,c,female,Asian,33.32,adopted,85913
8591303,4.25,5,6,15,4.255,5,20,12.5,c,c,c,c,female,Asian,30.84,adopted,85913
8591401,3.38,4,29,9,3.88,5,16,8,m,m,m,m,female,White,34.09,adopted,85914
8595605,4.25,4,4,12,3.5,3,9,3,f,f,f,f,female,Asian,33.06,adopted,85956
8595607,2.88,2,7,4,3.5,3,9,3,f,f,f,f,male,Asian,31.67,adopted,85956
8595805,4.88,5,11,10,4.1899999999999995,3.5,28.5,6,c,c,c,c,female,Asian,33.28,adopted,85958
8595905,3.88,4,13,9,3.625,3,11.5,6.5,c,c,c,c,female,Asian,32.89,adopted,85959
8595907,4.5,4,14,9,3.625,3,11.5,6.5,c,c,c,c,male,Asian,29.54,adopted,85959
8596000,3.38,3,12,11,4,5,11,8,m,m,m,m,female,White,33.45,biological,85960
8596002,4.75,5,3,11,4,5,11,8,m,m,m,m,female,White,30.97,biological,85960
8596300,2.38,2,13,11,3.5,2,27,6,m,m,m,m,female,White,32.91,biological,85963
8596302,3.5,4,22,4,3.5,2,27,6,m,m,m,m,female,White,30.76,biological,85963
8660303,4,4,11,13,4,4,20,6,m,m,m,m,male,Mixed,28.08,adopted,86603
8660601,2.38,2,14,3,3.625,4,8,7.5,c,c,c,c,male,White,31.79,adopted,86606
